22,4.140625,8434
22.25,4.21875,8723
22.5,4.21875,8775
22.75,4.140625,6566
23,5.390625,3771
23.25,5.3125,1660
23.5,5.390625,4568
23.75,5.390625,3450
24,5.390625,2969
24.25,5.9375,2446
24.5,5.3125,2539
24.75,5.390625,2369
25,5.390625,3338
25.25,5.9375,2767
25.5,5.390625,3821
25.75,4.53125,1647
26,5.46875,2603
26.25,4.140625,4157
26.5,11.328125,897
26.75,11.25,3253
27,4.140625,2220
27.25,4.6875,896
27.5,4.140625,2421
27.75,4.0625,1891
28,11.09375,646
28.25,3.984375,2753
28.5,4.0625,1404
28.75,4.0625,1698
29,5.3125,1078
29.25,5.3125,223
29.5,4.0625,993
29.75,5.3125,215
30,0,600
